                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5789,                 4.6237,                  1.395,                 0.6364,                 0.6463,                0.60343,                0.38792,                  1.375,                 1.4299,                  1.185,                 0.0748,                 0.0028,                 0.0028
                      1,                 1.2309,                 1.2466,                 1.1645,                0.54642,                0.42712,                0.49665,                0.31708,                 1.3186,                  1.551,                 1.0656,               0.048474,              0.0054743,              0.0054743
                      2,                   1.19,                 1.1552,                 1.0859,                0.80405,                0.88751,                0.89885,                0.65049,                 1.2579,                0.97818,                 1.0691,               0.021919,              0.0079189,              0.0079189
                      3,                 1.2378,                 1.0199,                 1.1091,                0.67862,                 0.8693,                0.86473,                0.58435,                 1.3451,                0.93178,                 1.1145,               0.008812,               0.008812,               0.008812
                      4,                 1.2518,                 1.1115,                  1.112,                0.69798,                0.91878,                0.82031,                0.56928,                 1.3413,                0.98608,                 1.0988,               0.008812,               0.008812,               0.008812
                      5,                 1.2083,                0.92583,                 1.0852,                0.81131,                0.73982,                 0.8891,                0.66055,                 1.2445,                0.89215,                 1.0808,               0.008416,               0.008416,               0.008416
                      6,                 1.2978,                0.93476,                 1.1294,                0.67815,                0.88188,                0.90989,                0.62224,                 1.3156,                0.85573,                  1.089,                0.00802,                0.00802,                0.00802
                      7,                 1.2504,                 0.9113,                  1.116,                0.78275,                0.91878,                0.88152,                0.61736,                 1.2716,                 0.8496,                 1.0863,               0.007624,               0.007624,               0.007624
                      8,                 1.2384,                0.83618,                 1.1012,                 0.7451,                0.87248,                0.87625,                0.60362,                 1.2784,                0.82864,                 1.0832,               0.007228,               0.007228,               0.007228
                      9,                 1.1882,                0.76205,                 1.0884,                0.68686,                0.86691,                0.83282,                0.55496,                 1.3532,                0.90026,                 1.1027,               0.006832,               0.006832,               0.006832
                     10,                 1.2639,                 0.8028,                 1.1061,                0.77421,                0.85025,                0.91048,                 0.6467,                  1.297,                0.79555,                 1.0721,               0.006436,               0.006436,               0.006436
                     11,                 1.1978,                0.76411,                 1.0785,                 0.7663,                0.91892,                0.92048,                0.64208,                 1.2936,                0.75388,                 1.0769,                0.00604,                0.00604,                0.00604
                     12,                 1.2002,                0.77406,                  1.075,                0.80717,                0.84286,                0.89863,                0.61542,                 1.2648,                0.75113,                 1.0455,               0.005644,               0.005644,               0.005644
                     13,                 1.1841,                0.74417,                  1.077,                0.87235,                0.91514,                0.90675,                0.66396,                 1.2427,                0.69432,                 1.0545,               0.005248,               0.005248,               0.005248
                     14,                 1.1915,                0.71996,                 1.0686,                0.86142,                0.87426,                0.93158,                0.70164,                 1.2399,                0.68697,                 1.0592,               0.004852,               0.004852,               0.004852
                     15,                 1.2236,                0.69646,                 1.0877,                0.84163,                0.89086,                 0.9351,                0.66682,                 1.2531,                0.71508,                 1.0661,               0.004456,               0.004456,               0.004456
                     16,                 1.1955,                0.69258,                 1.0715,                0.86887,                0.77296,                0.91313,                0.69024,                  1.219,                0.70697,                 1.0515,                0.00406,                0.00406,                0.00406
                     17,                 1.1756,                0.63961,                 1.0694,                0.78981,                 0.8653,                0.92795,                0.69943,                 1.1951,                0.67779,                 1.0276,               0.003664,               0.003664,               0.003664
                     18,                 1.1462,                0.62894,                  1.056,                0.96764,                0.75376,                0.94114,                0.71033,                 1.2086,                0.67374,                 1.0417,               0.003268,               0.003268,               0.003268
                     19,                 1.1722,                0.61957,                 1.0766,                0.87271,                0.85676,                0.93659,                0.71629,                 1.2241,                 0.6507,                 1.0454,               0.002872,               0.002872,               0.002872
                     20,                 1.1189,                0.61286,                 1.0396,                0.81805,                0.93568,                0.93618,                0.70905,                 1.1955,                0.64626,                 1.0409,               0.002476,               0.002476,               0.002476
                     21,                 1.1309,                0.61663,                 1.0284,                0.81938,                0.92893,                0.93601,                0.70282,                 1.2323,                0.64921,                 1.0388,                0.00208,                0.00208,                0.00208
                     22,                 1.1317,                0.59891,                 1.0543,                0.79422,                0.93718,                0.94882,                0.72412,                 1.2147,                0.64887,                 1.0287,               0.001684,               0.001684,               0.001684
                     23,                 1.1243,                0.57955,                 1.0425,                0.82472,                0.92416,                0.94697,                0.71349,                 1.2035,                0.62438,                 1.0238,               0.001288,               0.001288,               0.001288
                     24,                 1.1188,                0.57018,                 1.0453,                0.83716,                0.94011,                0.94755,                 0.7334,                 1.1918,                0.60482,                 1.0184,               0.000892,               0.000892,               0.000892
